dos_id,current_entity_name,initial_dos_filing_date,county,jurisdiction,entity_type,dos_process_name,dos_process_address_1,dos_process_address_2,dos_process_city,dos_process_state,dos_process_zip,status
1234567,400 EAST 90 OWNER LLC,01/15/2018,NEW YORK,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,JOHN A SMITH,400 EAST 90 STREET,APT 12A,NEW YORK,NY,10128,ACTIVE
1234568,"150 EAST 50, LLC",06/22/2015,NEW YORK,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,JONES MARGARET T,150 EAST 50 STREET,,NEW YORK,NY,10022,ACTIVE
1234569,GRAMERCY OWNER LLC,03/10/2010,NEW YORK,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,LAW OFFICES OF DOE,15 GRAMERCY PARK SOUTH,APT 4A,NEW YORK,NY,10003,ACTIVE
1234570,200 W 125 STREET HOLDINGS LLC,11/01/2019,NEW YORK,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,HARLEM HOLDINGS REP,200 WEST 125 STREET,,NEW YORK,NY,10027,ACTIVE
1234571,DISSOLVED OWNER LLC,05/12/2008,NEW YORK,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,SAMPLE NAME,123 EAST 80 STREET,,NEW YORK,NY,10075,DISSOLVED
1234572,BROOKLYN OWNER LLC,02/14/2020,KINGS,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,BROOKLYN AGENT,250 BEDFORD AVE,,BROOKLYN,NY,11211,ACTIVE
1234573,WESTCHESTER LLC NYC PROPERTY,07/30/2017,WESTCHESTER,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,WESTCHESTER REP,400 EAST 90 STREET,,NEW YORK,NY,10128,ACTIVE
1234574,ALBANY UPSTATE LLC,01/01/2016,ALBANY,NEW YORK,DOMESTIC LIMITED LIABILITY COMPANY,UPSTATE REP,123 STATE STREET,,ALBANY,NY,12207,ACTIVE
1234575,JOE'S DELI ASSUMED NAME,01/01/2015,NEW YORK,NEW YORK,ASSUMED NAME,SAMPLE,500 BROADWAY,,NEW YORK,NY,10012,ACTIVE
1234576,FIDI CONDO ASSOC INC,09/01/2008,NEW YORK,NEW YORK,DOMESTIC NOT-FOR-PROFIT CORPORATION,CONDO BOARD,30 RECTOR STREET,,NEW YORK,NY,10006,ACTIVE
